SKU,NAME,ID,pif1,pif2,pif3,pif4,pif5,pif6,pif7,pif8,pif9
VIQ-UVP-VT1,"UV Water Purifier, 1 gpm 120V 13W                                                                                       ",8836,https://www.primosupply.com/images/VIQ-UVP-E4.jpg,,,,,,,,
VIQ-UVP-VT4,"UV Water Purifier, 3.5gpm 120V 20W                                                                                      ",8837,https://www.primosupply.com/images/VIQ-UVP-E4.jpg,,,,,,,,
VIV-634646,Vivitar 10x25 Waterproof Binocular - GREY,8838,https://www.primosupply.com/images/634646s.gif,,,,,,,,
VIV-634647,Vivitar 10x25 Waterproof Binocular - BLK,8839,https://www.primosupply.com/images/634647s.gif,,,,,,,,
VIV-634752,Vivitar 10x25 Waterproof Binocular - CAMO,8840,https://www.primosupply.com/images/634752s.gif,,,,,,,,
VV-BH02,"Vulcan Vent, Block Hole 2"" Flat Front Retrofit with 1/16"" Mesh Face                                                     ",8841,https://www.primosupply.com/images/vulcan-round3.jpg,https://www.primosupply.com/images/vulcan-round3.jpg,https://www.primosupply.com/images/vulcanhoneycomb.jpg,https://www.primosupply.com/images/vulcanhoneycombbefore.png,https://www.primosupply.com/images/vulcanflame.png,https://www.primosupply.com/images/vulcanhoneycombafter.png,,,
VV-BH02-LV,"Vulcan Vent, Block Hole 2"" Flat Front Retrofit  with 1/16"" Mesh Louvered Face                                           ",8842,https://www.primosupply.com/images/vulcan-round-vent-large.jpg,,,,,,,,
VV-BH02.5,"Vulcan Vent, Block Hole 2-1/2"" Flat Front Retrofit with 1/16"" Mesh Face                                                 ",8843,https://www.primosupply.com/images/vulcan-round3.jpg,https://www.primosupply.com/images/vulcan-round3.jpg,https://www.primosupply.com/images/vulcanhoneycomb.jpg,https://www.primosupply.com/images/vulcanhoneycombbefore.png,https://www.primosupply.com/images/vulcanflame.png,https://www.primosupply.com/images/vulcanhoneycombafter.png,,,
VV-BH03,"Vulcan Vent, Block Hole 3"" Flat Front Retrofit with 1/16"" Mesh Face                                                     ",8844,https://www.primosupply.com/images/vulcan-round3.jpg,https://www.primosupply.com/images/vulcan-round3.jpg,https://www.primosupply.com/images/vulcanhoneycomb.jpg,https://www.primosupply.com/images/vulcanhoneycombbefore.png,https://www.primosupply.com/images/vulcanflame.png,https://www.primosupply.com/images/vulcanhoneycombafter.png,,,
VV-BH03-LV,"Vulcan Vent, Block Hole 3"" Flat Front Retrofit with 1/16"" Mesh Louvered Face                                            ",8845,https://www.primosupply.com/images/vulcan-round-vent-large.jpg,,,,,,,,
VV-BH04,"Vulcan Vent, Block Hole 4"" Flat Front Retrofit With 1/16"" Mesh Face                                                     ",8846,https://www.primosupply.com/images/vulcan-round3.jpg,,,,,,,,
VV-BH04-LV,"Vulcan Vent, Block Hole 4"" Flat Front Retrofit With 1/16"" Mesh Louvered Face                                            ",8847,https://www.primosupply.com/images/vulcan-round-vent-large.jpg,,,,,,,,
VV-BH06,"Vulcan Vent, Block Hole 6"" Flat Front Retrofit with 1/16"" Mesh Face                                                     ",8848,https://www.primosupply.com/images/vulcan-round3.jpg,,,,,,,,
VV-CS2060-RI-TP,"Vulcan Vent, Continuous Soffit 2"" x 60"" Retrofit TWIN PACK (Ships by UPS!)                                              ",8849,https://www.primosupply.com/images/vulcan-continuousretrofit.png,https://www.primosupply.com/images/vulcan-continuousretrofitinstalled.png,https://www.primosupply.com/images/vulcanhoneycomb.jpg,https://www.primosupply.com/images/vulcanhoneycombbefore.png,https://www.primosupply.com/images/vulcanventflame.png,https://www.primosupply.com/images/vulcanhoneycombafter.png,,,
